sleep_inflicted_delta,frz_inflicted_delta,par_inflicted_delta,blended_faints_before_first_ko,p2_strategic_switches,delta_missed_moves,player_won,lead_spd_delta,first_sleep,p1_avg_remaining_health,p2_avg_remaining_health,p1_tauros_hp_pct,p1_chansey_hp_pct
0,10,-1,0,9,1,1,0,-11,0.6454689984101748,0.44125036324363115,1.0,0.5817923186344239
1,0,-3,3,10,-1,1,-25,2,0.26333333333333336,0.4283333333333333,0.45,1.0
3,0,-4,1,3,3,1,5,1,0.6966666666666667,0.6933333333333334,1.0,0.66
5,0,-17,3,6,4,1,0,2,0.34,0.4766666666666666,1.0,0.0
0,0,14,1,7,0,1,5,-13,0.6266666666666666,0.525,1.0,0.8
2,0,-6,0,13,2,1,-65,2,0.7116666666666666,0.5466666666666667,1.0,0.69
-2,0,6,0,10,3,1,-5,6,0.265,0.48333333333333334,0.26,0.0
-9,-4,-1,2,5,1,1,-10,-2,0.5683333333333334,0.8850000000000001,0.68,0.0
1,0,9,2,6,3,1,15,9,0.27666666666666667,0.5916666666666667,0.0,0.0
5,0,-8,2,12,1,1,0,4,0.43326528862835795,0.5647690989509884,1.0,0.6386913229018493
3,7,1,2,6,-1,1,0,24,0.22999999999999998,0.22166666666666668,0.0,0.38
0,0,0,3,9,-1,1,-35,1,0.30666666666666664,0.6883333333333331,0.0,0.82
2,0,-5,0,9,-2,1,5,20,0.5666666666666667,0.42999999999999994,0.73,0.0
1,0,7,0,7,-2,1,10,2,0.6666666666666666,0.5216666666666666,1.0,1.0
-4,-5,13,2,5,2,1,5,-21,0.43,0.7666666666666666,1.0,0.0
1,0,0,0,6,-6,1,-20,1,0.6859466931134319,0.7489479138843294,1.0,0.6799431009957326
4,3,-7,0,10,4,1,5,9,0.82,0.4883333333333333,0.36,1.0
0,0,19,2,6,0,1,-10,0,0.5683333333333334,0.7816666666666666,1.0,0.83
2,0,7,0,5,-2,1,20,12,0.85,0.6683333333333333,1.0,0.18
-1,0,2,3,10,-3,1,20,-4,0.325,0.5499999999999999,0.0,0.46
-2,7,1,0,6,-1,1,-25,1,0.6983333333333333,0.6966666666666667,1.0,0.0
0,0,6,1,7,0,1,0,0,0.5583333333333333,0.5233333333333333,0.0,0.86
