feature,importance
hp_change_differential,0.18469709
ko_differential,0.100523174
status_differential,0.04804267
p2_pokemon_revealed,0.029794134
p1_mean_hp_change,0.019186659
status_turns_p2,0.016198505
p1_pokemon_used,0.01602147
turns_critical_hp,0.015819868
late_game_ko_diff,0.015653629
forced_switches,0.014375283
p2_kos,0.014300796
p2_mean_hp_change,0.014282526
p1_kos,0.013644653
burn_poison_turns,0.013218468
p1_moved_first_pct,0.013105194
p1_status_inflicted,0.012327838
opp_lead_is_physical,0.012121267
team_min_total_stats,0.011811472
opp_lead_total_stats,0.0115909465
p2_final_hp,0.011404703
status_turns_p1,0.011166504
team_unique_types,0.01078912
mid_game_ko_diff,0.010526979
p2_max_boost,0.010459329
team_tank_count,0.01037424
p1_final_hp,0.010270458
boost_turns,0.010132521
p2_switch_frequency,0.009862251
early_game_ko_diff,0.009653495
battle_control_score,0.009643641
p2_hp_slope,0.009636154
team_vs_lead_disadvantage_count,0.009461619
opp_lead_spa,0.009442857
team_spa_max,0.009393446
move_power_differential,0.009391036
team_spe_std,0.009351283
opp_lead_def,0.009339817
damage_consistency,0.0093150735
p2_avg_move_power,0.009296812
team_vs_lead_stat_ratio,0.009258424
team_fast_pokemon,0.009240707
p2_avg_boost,0.00902766
team_spa_mean,0.009019457
team_physical_attackers,0.008956526
p1_status_move_pct,0.008918179
p1_hp_volatility,0.008820945
p2_status_inflicted,0.00869067
team_hp_mean,0.008686202
p2_max_single_turn_damage,0.008683093
p1_avg_boost,0.00866522
p2_hp_volatility,0.008472108
p1_special_move_pct,0.008435784
team_avg_total_stats,0.008335535
team_atk_mean,0.008334733
team_spe_mean,0.0083303815
team_hp_std,0.008297213
p1_switch_frequency,0.0082544675
team_vs_lead_advantage_count,0.007759654
p1_physical_move_pct,0.007690441
boost_differential,0.0076865917
p1_hp_slope,0.007685978
p1_max_single_turn_damage,0.007645323
team_vs_lead_net_advantage,0.0076171104
p1_avg_move_power,0.0075859386
p1_max_boost,0.0066556535
team_atk_min,0.0057684383
team_hp_max,0.0018506325
super_effective_move_count,0.0
avg_type_effectiveness_p2,0.0
team_def_min,0.0
avg_type_effectiveness_p1,0.0
num_turns,0.0
turns_below_50_hp_pct,0.0
comeback_indicator,0.0
momentum_swings,0.0
max_consecutive_favorable_turns,0.0
offensive_efficiency,0.0
