feature,single_importance,ensemble_importance
hp_change_differential,0.19034685,0.16707417
ko_differential,0.13090794,0.12084699
status_differential,0.05789336,0.039290473
p2_pokemon_revealed,0.03407049,0.03333599
p1_mean_hp_change,0.02556389,0.025831055
turns_critical_hp,0.024240281,0.020585597
p2_mean_hp_change,0.015037865,0.018259773
forced_switches,0.03007764,0.017839331
late_game_ko_diff,0.017171979,0.017824607
p1_pokemon_used,0.016652113,0.016032664
p1_moved_first_pct,0.014336231,0.014765242
p1_status_inflicted,0.013290233,0.013476407
status_turns_p2,0.013533048,0.013450672
p2_kos,0.011985552,0.011903542
p1_kos,0.007765725,0.011764833
p2_switch_frequency,0.00851576,0.01151585
team_min_total_stats,0.012054398,0.011342363
p2_max_boost,0.008996173,0.01081538
p2_final_hp,0.011120469,0.010779583
p2_status_inflicted,0.009487693,0.010773642
team_tank_count,0.0,0.010673563
p1_final_hp,0.010349351,0.010651227
p1_max_boost,0.005430683,0.010360917
burn_poison_turns,0.011795595,0.010217293
p1_status_move_pct,0.008564156,0.010173
team_vs_lead_disadvantage_count,0.00711938,0.009889239
status_turns_p1,0.0069824015,0.009865046
opp_lead_total_stats,0.009691918,0.009851407
p2_avg_move_power,0.007795284,0.009564218
battle_control_score,0.008642785,0.009444662
p2_max_single_turn_damage,0.008165122,0.009360627
opp_lead_spa,0.009937085,0.009287038
team_avg_total_stats,0.006842275,0.009080115
team_vs_lead_advantage_count,0.008048817,0.009036032
team_spa_mean,0.0075465473,0.008927402
move_power_differential,0.008654264,0.008895519
p1_special_move_pct,0.007239547,0.008878781
boost_turns,0.008573659,0.008857662
p1_hp_volatility,0.007254904,0.00885508
damage_consistency,0.006833754,0.008849572
team_spe_std,0.008359412,0.008804967
p2_hp_slope,0.006279232,0.00878724
team_hp_mean,0.007935989,0.008763852
team_hp_std,0.0066500814,0.00864265
p1_physical_move_pct,0.007214812,0.008641461
team_spe_mean,0.007508413,0.0085559655
team_spa_max,0.005732927,0.0085501205
team_unique_types,0.008785331,0.008514243
p1_max_single_turn_damage,0.007681154,0.008498481
boost_differential,0.006700083,0.008496192
